commit	val_bpb	memory_gb	status	description
b054aa4	0.001226	3.1	keep	baseline (Windows SDPA fallback; no triton; depth=4, bs=8)
6c77319	0.001150	4.5	keep	increase DEVICE_BATCH_SIZE to 12 (TOTAL_BATCH_SIZE=24576)
